labelName,start_date,end_date,concurrency,samples,avgResponseTime,avgThroughput,90line,95line,99line,errorsCount,errorsRate,errors
HTTP Request,19-Aug-2025 09:44:27 AM,19-Aug-2025 09:46:27 AM,1,29994,3.8257318130292726,249.95,5,6,10,29994,100,"{""status_code"": ""404"", ""error_message"": ""Not Found"", ""count"": 29994}"
ALL,19-Aug-2025 09:44:27 AM,19-Aug-2025 09:46:27 AM,1,29994,3.8257318130292726,249.95,5,6,10,29994,100,"{""status_code"": ""404"", ""error_message"": ""Not Found"", ""count"": 29994}"
ALL,19-Aug-2025 09:49:33 AM,19-Aug-2025 09:51:18 AM,10,209010,10.502435290177504,1990.5714285714287,7,11,24,209010,100,"{""status_code"": ""Non HTTP response code: org.apache.http.ConnectionClosedException"", ""error_message"": ""Non HTTP response message: Premature end of Content-Length delimited message body (expected: 1,256; received: 0)"", ""count"": 1}"
HTTP Request,19-Aug-2025 09:49:33 AM,19-Aug-2025 09:51:18 AM,10,209010,10.502435290177504,1990.5714285714287,7,11,24,209010,100,"{""status_code"": ""Non HTTP response code: org.apache.http.ConnectionClosedException"", ""error_message"": ""Non HTTP response message: Premature end of Content-Length delimited message body (expected: 1,256; received: 0)"", ""count"": 1}"
