labelName,start_date,end_date,concurrency,samples,avgResponseTime,avgThroughput,90line,95line,99line,errorsCount,errorsRate,errors,avg_total_time,avgApigeeTime,avgBackendTime
Get Loyelty Single,14-Nov-2025 06:57:23 PM,14-Nov-2025 06:59:20 PM,2,2061,112.63318777292577,17.615384615384617,116,213,595,0,0,,76.79650315687228,40.45458960660515,36.365225837785324
Get Loyelty Single,14-Nov-2025 07:04:21 PM,14-Nov-2025 07:06:21 PM,3,3525,101.67744680851064,29.375,104,198,537,0,0,,72.89349616586196,39.39108207895484,33.52286282306164
